Forebrain,5 nN,Forebrain,20 nN,Midbrain,5 nN,Midbrain,20 nN,Hindbrain,5 nN,Hindbrain,20 nN
N,Stiffness,N,Stiffness,N,Stiffness,N,Stiffness,N,Stiffness,N,Stiffness
8,3.8,9,13.59,7,3.06,6,13.27,7,2.49,6,8.39
7,3.06,4,18.49,6,4.76,3,13.35,2,0.95,8,25.99
4,4,7,30.29,4,4,4,12.15,3,3.46,,
4,1.74,5,30.87,5,7.28,4,15.27,4,7.62,,
3,6.36,8,25.25,6,12.25,3,5.4,4,16.02,,
3,4.65,5,30.21,4,7.95,3,10.76,5,25.85,,
3,11.49,6,22.42,5,8.16,5,42.69,10,24.22,,
4,17.18,9,18.89,12,5.93,13,27.3,5,25.42,,
4,28.02,,,5,14.27,15,16.47,4,7.95,,
4,15.35,,,4,3.05,,,4,9.75,,
7,18.06,,,9,4.29,,,5,4.85,,
14,23.62,,,3,34.83,,,5,3.86,,
5,8.16,,,7,18.87,,,19,17.8,,
9,10.5,,,9,8.83,,,,,,
8,11.99,,,4,7.54,,,,,,
6,42.35,,,,,,,,,,
6,69.12,,,,,,,,,,
5,22.88,,,,,,,,,,
4,16.88,,,,,,,,,,
5,6.75,,,,,,,,,,
18,17.44,,,,,,,,,,
131,16.35238095,53,23.75125,90,9.671333333,56,17.40666667,77,11.55692308,14,17.19
